Name,Url,Authority
IAB Digital Marketing and Media Foundations Certification,,Google
Excel Essential Training (Office 365/Microsoft 365),https://www.linkedin.com/learning/certificates/b20890ce5cb7e0483cbafdede193bd2fc37afa08cd8c21dc8092ca1e9640e81d?trk=share_certificate,LinkedIn
Critical Thinking for More Effective Communication,https://www.linkedin.com/learning/certificates/82f1a896f59b4ec378c4b096818495504f20e7836867805671feca2703c5904f,LinkedIn
Pitching Your Ideas Strategically,https://www.linkedin.com/learning/certificates/1502abc90f705eddd53a7e2e314d1f7388122179476c84334ac95fa979684818?u=102224978,LinkedIn
Improving Your Listening Skills,https://www.linkedin.com/learning/certificates/14b804495b0eb3dc6f98b48fd5ecf969d52588d64ede73a7a0915785048fd8cb?trk=share_certificate,LinkedIn
Communicating in the Language of Leadership,https://www.linkedin.com/learning/certificates/c1af4c495865c90151a1e52e1bb777c8ba720621c0dc734745806f839021d050?trk=share_certificate,LinkedIn
Improving Your Leadership Communications,https://www.linkedin.com/learning/certificates/c7697ef9d4e21b039e2aa936c95b1804ac66e765b9bc08d5cf2f6bb958a42e4c?trk=share_certificate,LinkedIn
Presenting to Senior Executives,https://www.linkedin.com/learning/certificates/42b0c1eae52375381464619d3a18867ac2883d8ffef14bfc594d25e62887d01e?trk=share_certificate,LinkedIn
Communicating through Disagreement,https://www.linkedin.com/learning/certificates/1d5329d4c143c80064ac7c348ea32937679686735a22e1ef6e04b013e235529c?trk=share_certificate,LinkedIn
Having Difficult Conversations,https://www.linkedin.com/learning/certificates/437294c4ca0d68410694faf1a71bd533bc36baffc20fe314700787a7f640b02f?trk=share_certificate,LinkedIn
Course Agile Project Management with Microsoft Project,https://www.linkedin.com/learning/certificates/2b5ca144bef9a340af6da17c180c7dfc80ab3a7c77c1153344fdb07115bf0fee?trk=share_certificate,LinkedIn
Power BI: Dashboards for Beginners,https://www.linkedin.com/learning/certificates/7b5a5b2c0ad338ec60c0259eb9e52231e4548b7d55153d0e089120bc907f3276?trk=share_certificate,LinkedIn
Team Collaboration in Office 365 (Microsoft 365),https://www.linkedin.com/learning/certificates/b212d83ac2ad88144cd4a33373056b66e14c3239c8e5aefbf4fc67ca678a2967?trk=share_certificate,LinkedIn
Learning Office 365 (Microsoft 365),https://www.linkedin.com/learning/certificates/b03af74e22a8332967de0f07421fbf20ece99ab63cc15cfd4686f2e658203387?trk=share_certificate,LinkedIn
Getting Work Done in Office 365 (Microsoft 365),https://www.linkedin.com/learning/certificates/1d5e0350373c999c228bd948f9ffea80c86f677412e49d94f54fea8a3c354932?trk=share_certificate,LinkedIn
Smarter Note-Taking with Microsoft Office 365,https://www.linkedin.com/learning/certificates/89f9ae34d50b6d2e5f2b4a0a12e822acbda509fba811a7868911ea1d93d3f429?trk=share_certificate,LinkedIn
Word Essential Training (Office 365/Microsoft 365),https://www.linkedin.com/learning/certificates/bac85ab69a580d85c5fbeb11392ba9ba354dea8c340385ca86ad02dd9ae6cdaf?trk=share_certificate,LinkedIn
PowerPoint Essential Training (Office 365/Microsoft 365),https://www.linkedin.com/learning/certificates/14394563ee099e3d508bcc47fada25e5351767d9a228fd22d0fdb68a52ed6650?trk=share_certificate,LinkedIn
Microsoft Forms Essential Training,https://www.linkedin.com/learning/certificates/e937e98512d2e934982bacc3c54dfe3e1a64eb3398ea07a2f7736596602913a6?trk=share_certificate,LinkedIn
Outlook Essential Training (Office 365/Microsoft 365) (2020),https://www.linkedin.com/learning/certificates/64ed94da88b6757559611b1940bcb6da6970a639db93f62c4b250831053d91ba?trk=share_certificate,LinkedIn
Learning Microsoft Project,https://www.linkedin.com/learning/certificates/4c8ebe815a6f30e35d0b9ddc25f7d116df2821d434165a575f83adb9a58cfe83?trk=share_certificate,LinkedIn
SQL: Data Reporting and Analysis,https://www.linkedin.com/learning/certificates/503714c5e73bfc99bc4a92bcce0ca95a633dec8e76374d14de01cf1f2b9d0f3e?trk=share_certificate,LinkedIn
Power BI Essential Training,https://www.linkedin.com/learning/certificates/6bcde6ec1c8d75d919fa5f8da477ebcd47551ff996d2915765f6f3d78dc10fb3?trk=share_certificate,LinkedIn
Become a Data Analyst,https://www.linkedin.com/learning/certificates/5e7771b851393113967817afb50bf84f31da4336434ba49a9c699f0c1c04af71?trk=backfilled_certificate,LinkedIn
